"R","TB","AP ",20100703,1,"D","Claiming",23500,"FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds, 121 lbs.; Older, 124 lbs. Non-winners of a race since ","June 3 Allowed 3 lbs. Claiming Price $25,000, For Each $2,500 To $20,000 2 lbs. (Races where entered for $18,000 or less not ","considered).  Lane 2. (If the management considers it inadvisable to run this race on the Turf Course, it will be run on the ","main track at Five Furlongs).","3UF  ",500,"F"," ","T",94,"FM","Clear","Good","4:01",-2,22.72,45.89,0.00,0.00,0.00,57.90,104,93,86,56.68,19560,4700,2585,1410,705,0,0,0,0.00,0.00,"2 Exacta"," 5-2",117.80,38128,"0.1 Superfecta"," 5-2-4-3",59.630,14964,"0.5 Trifecta"," 5-2-4",107.00,33176,"","",0,0,"","",0,0,"","",0,0,"","",0,0,"","",0,0,"","",0,0,"","",0,0,"","",0
"H","AP ",20100703,2,"D","22May10  4CD  3","TB","Tank's Letter",118,2,"C","L","T   Riggs",3.70,"3",3,25000,3,3,3.0,0,0,0,0,0,0,4,2.0,4,3.9,4,0.000,66,"Berndt Joel","Elenz, Larry and Krueger, Janice","TANK'S LETTER stumbled break, bumped, chased inside, shifted 3-wide 1/4, bumped","",0.00,0.00,0.00,0.00,
"H","AP ",20100703,2,"D","","TB","Run Big Bud Run",118,2,"C","Lbf","J Z Santana",17.10,"4",4,25000,7,5,5.5,0,0,0,0,0,0,6,3.1,6,5.6,6,0.000,61,"Goodridge Ronald O","Larry Bingham","RUN BIG BUD RUN angled in side tracking pace, couldn't produce closing bid","",0.00,0.00,0.00,0.00,
"H","AP ",20100703,2,"D","","TB","Playing a Joke",118,2,"C","Lb","J   Alvarado",2.60,"5",5,25000,8,7,8.0,0,0,0,0,0,0,3,1.5,1,0.0,1,0.000,78,"Canani Nick","Frank Carl Calabrese","PLAYING A JOKE bit outpaced early, advanced rail, split foes 1/8, prevailed","Gray or Roan Colt; 2008; It's No Joke-Jenny's Playmate (Play Fellow) Bred By:Serendipity Farm (Kentucky)",7.20,4.00,3.40,0.00,
"H","AP ",20100703,2,"D","17Jun10  2AP  9","TB","Tuxedo Required",118,2,"C","Lb","D   Sanchez",42.60,"6",6,25000,5,6,7.0,0,0,0,0,0,0,8,10.1,8,11.9,8,0.000,42,"Cowan Jon M","C J Equine Service Inc","TUXEDO REQUIRED broke out, bumped foe, soon dropped out","",0.00,0.00,0.00,0.00,
"H","AP ",20100703,2,"D","17Jun10  2AP  2","TB","Mentiroso",118,2,"G","Lb","L   Wade",3.40,"7",7,25000,4,4,3.5,0,0,0,0,0,0,5,2.1,2,1.8,2,0.000,72,"Faraci-Ransom Francine","Sugar Daddy Stable","MENTIROSO bumped, forced into foe start, chased, forced 4-wide into lane","",0.00,3.60,3.20,0.00,
"H","AP ",20100703,2,"D","","TB","Trenchancy",118,2,"C","L","J   Graham",2.90,"8",8,25000,6,8,14.0,0,0,0,0,0,0,7,8.1,7,6.9,7,0.000,57,"Thornbury Jeffrey D","Copelan Robert W and Thornbury Jeffrey D","TRENCHANCY bumped start, never gained contention","",0.00,0.00,0.00,0.00,
"R","TB","AP ",20100703,3,"D","Claiming",13500,"FOR THREE YEAR OLDS AND UPWARD  WHICH HAVE NEVER WON TWO RACES. Three Year Olds, 121 lbs.; Older, 124 lbs. Non-winners of a ","race since June 3 Allowed 3 lbs. Claiming Price $17,500 (Races where entered for $10,000 or less not considered).","","","3U  NW2L",650,"F"," ","E",85,"FT","Clear","2","4:54",5,23.32,46.56,72.37,0.00,0.00,79.47,123,107,91,78.51,8100,2700,1485,810,405,0,0.00,0.00,0.00,0.00,"1 Pick 3"," 5-5-5",153.90,10838,"2 Daily Double"," 5-5",43.80,5882,"2 Exacta"," 5-3",24.60,45669,"0.5 Trifecta"," 5-3-6",19.250,47436,"","",0,0,"","",0,0,"","",0,0,"","",0,0,"","",0,0,"","",0,0,"","",0
"H","AP ",20100703,3,"D","27May10  1AP  4","TB","Toquinho",121,4,"G","L","I   Karlsson",10.90,"1",1,17500,2,4,3.6,3,5.0,0,0,0,0,3,4.0,4,2.6,4,0.000,85,"Ali Alnaz","Alnaz Ali","TOQUINHO reserved bit tracking pace inside, brief bid, flattened out","",0.00,0.00,0.00,0.00,
"H","AP ",20100703,3,"D","19Jun10  4AP  7","TB","Sweepy Bluff",121,4,"G","Lf","J   Alvarado",7.70,"2",2,17500,5,6,9.1,6,12.5,0,0,0,0,5,8.0,5,3.3,5,0.000,84,"Scherbenske Percy E","Lamont Nienast LLC","SWEEPY BLUFF broke awkwardly, never gained contention","",0.00,0.00,0.00,0.00,
"H","AP ",20100703,3,"D","12Jun10  8AP  3","TB","Canadian Lynx",121,4,"G","Lb","S J Sellers",0.70,"3",3,17500,1,1,0.0,1,0.0,0,0,0,0,1,0.0,2,0.5,2,0.000,90,"Catalano Wayne M","Talons Racing","CANADIAN LYNX sped clear, opened commanding margin, couldn't sustain bid","",0.00,2.40,2.10,0.00,
